epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,715.247,0.58626,1.71244,1.21094,0.74675,0.60535,0.7084,0.499,1.02358,1.68831,1.6466,0.000301763,0.000301763,0.000301763
2,1519.31,0.72438,1.24111,1.2846,0.71739,0.61709,0.77146,0.50843,1.03752,1.54999,1.71966,0.000598776,0.000598776,0.000598776
3,1922.5,0.72907,1.18454,1.28975,0.75255,0.81644,0.89583,0.66945,0.85835,1.11522,1.4993,0.00088979,0.00088979,0.00088979
4,2496.76,0.70812,1.11091,1.26848,0.75748,0.85476,0.92721,0.6854,0.74811,0.98628,1.33882,0.000882003,0.000882003,0.000882003
5,2847.74,0.61364,0.97212,1.18702,0.66276,0.60381,0.67988,0.51247,0.93273,1.97287,1.56927,0.000873004,0.000873004,0.000873004
6,3201.55,0.58486,0.93191,1.17626,0.85353,0.84703,0.96424,0.821,0.60117,0.79616,1.20582,0.000864004,0.000864004,0.000864004
7,3605.37,0.58181,0.86755,1.17653,0.88533,0.92347,0.96853,0.88021,0.48336,0.64118,1.06293,0.000855005,0.000855005,0.000855005
8,4175.08,0.55786,0.78885,1.15186,0.92892,0.87851,0.95823,0.86302,0.49205,0.61361,1.06851,0.000846006,0.000846006,0.000846006
9,4561.77,0.52646,0.75248,1.13749,0.89559,0.96509,0.97817,0.81761,0.58289,0.57926,1.15899,0.000837007,0.000837007,0.000837007
10,5033.8,0.51589,0.71641,1.12548,0.9392,0.94139,0.98165,0.88802,0.473,0.5788,1.06443,0.000828008,0.000828008,0.000828008
11,5461.94,0.49197,0.68814,1.1139,0.93283,0.95816,0.97731,0.88955,0.48487,0.47758,1.05073,0.000819009,0.000819009,0.000819009
12,6025.15,0.48106,0.64264,1.10432,0.92664,0.9358,0.98395,0.90151,0.45635,0.4413,1.02181,0.00081001,0.00081001,0.00081001
13,6376.3,0.47208,0.64293,1.10569,0.9798,0.9768,0.98709,0.93566,0.38625,0.43197,0.95242,0.000801011,0.000801011,0.000801011
14,6719.59,0.44568,0.60544,1.07979,0.94713,0.92802,0.98076,0.90225,0.44776,0.4808,1.02666,0.000792012,0.000792012,0.000792012
15,7110.43,0.44254,0.59943,1.0921,0.95145,0.9534,0.9882,0.92751,0.38127,0.39303,0.93394,0.000783013,0.000783013,0.000783013
16,7777.1,0.427,0.53887,1.06896,0.95607,0.95399,0.98488,0.92603,0.38962,0.40395,0.93895,0.000774013,0.000774013,0.000774013
17,8140.36,0.42215,0.55966,1.07404,0.96718,0.95439,0.98785,0.94305,0.3708,0.41188,0.91114,0.000765014,0.000765014,0.000765014
18,8612.16,0.41391,0.53605,1.0676,0.98262,0.98427,0.98689,0.93433,0.3696,0.3376,0.93148,0.000756015,0.000756015,0.000756015
19,9409.6,0.3935,0.51099,1.05926,0.95324,0.94664,0.98571,0.93867,0.39198,0.60985,0.94356,0.000747016,0.000747016,0.000747016
20,10004.3,0.40011,0.54985,1.05915,0.9617,0.97854,0.98404,0.92311,0.40364,0.43263,0.96977,0.000738017,0.000738017,0.000738017
21,10487,0.39058,0.48589,1.0487,0.97898,0.97374,0.98886,0.93469,0.36776,0.33635,0.92042,0.000729018,0.000729018,0.000729018
22,11149.4,0.39486,0.50651,1.05484,0.98878,0.98799,0.9887,0.9475,0.32283,0.32327,0.8639,0.000720019,0.000720019,0.000720019
23,11500.4,0.38888,0.46202,1.04802,0.97616,0.98681,0.98868,0.94103,0.38018,0.31281,0.95593,0.00071102,0.00071102,0.00071102
24,11855.3,0.38245,0.45351,1.04302,0.96614,0.96036,0.98368,0.91832,0.41277,0.40241,0.97381,0.000702021,0.000702021,0.000702021
25,12331.2,0.38331,0.49085,1.05403,0.98543,0.98984,0.98907,0.96324,0.32075,0.31273,0.88161,0.000693022,0.000693022,0.000693022
26,12826.2,0.36672,0.43473,1.03488,0.96869,0.97873,0.98814,0.95905,0.32242,0.34704,0.86636,0.000684022,0.000684022,0.000684022
27,13190.8,0.371,0.45114,1.0387,0.9912,0.9907,0.98855,0.96825,0.29811,0.27961,0.83699,0.000675023,0.000675023,0.000675023
28,13763.3,0.3632,0.42058,1.03077,0.98763,0.99169,0.98898,0.94477,0.34097,0.29601,0.88262,0.000666024,0.000666024,0.000666024
29,14120,0.3666,0.41617,1.03443,0.99136,0.99237,0.98904,0.96029,0.32622,0.26347,0.86516,0.000657025,0.000657025,0.000657025
30,14691.7,0.36212,0.4049,1.02924,0.98044,0.98768,0.98894,0.96328,0.30856,0.28997,0.84402,0.000648026,0.000648026,0.000648026
31,15201,0.36183,0.40341,1.02968,0.98887,0.99351,0.99022,0.95155,0.32573,0.26695,0.89862,0.000639027,0.000639027,0.000639027
32,15636.8,0.34859,0.41351,1.02686,0.98845,0.9873,0.98778,0.96288,0.28968,0.35795,0.83511,0.000630028,0.000630028,0.000630028
33,16047.1,0.33367,0.40871,1.01894,0.96943,0.98182,0.98955,0.95257,0.31068,0.31486,0.83956,0.000621029,0.000621029,0.000621029
34,16647.2,0.35115,0.4073,1.02765,0.98256,0.99016,0.98971,0.9584,0.32733,0.31343,0.87516,0.00061203,0.00061203,0.00061203
35,16997.8,0.34415,0.38345,1.02944,0.97485,0.9915,0.98861,0.96505,0.30268,0.2721,0.84782,0.000603031,0.000603031,0.000603031
36,17473.3,0.34569,0.36427,1.02409,0.98561,0.98904,0.9898,0.97095,0.29904,0.26734,0.82945,0.000594031,0.000594031,0.000594031
37,17847.2,0.34635,0.37956,1.02273,0.98194,0.97679,0.98869,0.96035,0.30971,0.29093,0.84911,0.000585032,0.000585032,0.000585032
38,18326,0.33538,0.38108,1.02185,0.99137,0.99221,0.9903,0.96749,0.27161,0.23378,0.80135,0.000576033,0.000576033,0.000576033
39,18682.6,0.33599,0.37497,1.01803,0.99082,0.98916,0.98895,0.96871,0.27027,0.24551,0.81495,0.000567034,0.000567034,0.000567034
40,19164.8,0.32639,0.3672,1.01848,0.97422,0.98289,0.98815,0.97009,0.27295,0.27032,0.81756,0.000558035,0.000558035,0.000558035
41,19521.4,0.33213,0.37289,1.01991,0.9907,0.98744,0.98955,0.97319,0.27369,0.28321,0.82728,0.000549036,0.000549036,0.000549036
42,20041.7,0.32475,0.33918,1.00904,0.97552,0.98429,0.98774,0.97023,0.2799,0.25914,0.81541,0.000540037,0.000540037,0.000540037
43,20392.6,0.31337,0.34341,1.00494,0.9888,0.99351,0.98921,0.97674,0.26738,0.22341,0.79857,0.000531038,0.000531038,0.000531038
44,20743.8,0.33046,0.35533,1.02218,0.9867,0.98907,0.99016,0.97812,0.26397,0.26971,0.80598,0.000522039,0.000522039,0.000522039
45,21100.9,0.3195,0.34489,1.00945,0.99232,0.98847,0.98953,0.97143,0.29261,0.25646,0.8327,0.00051304,0.00051304,0.00051304
46,21477.6,0.3189,0.32329,1.01206,0.99213,0.99243,0.9901,0.97725,0.28678,0.22218,0.82558,0.00050404,0.00050404,0.00050404
47,21834.2,0.31286,0.33146,1.00626,0.99233,0.99351,0.98989,0.97092,0.27229,0.31063,0.8179,0.000495041,0.000495041,0.000495041
48,22395.1,0.3105,0.32022,1.00263,0.99293,0.9926,0.99001,0.97787,0.26511,0.23461,0.79501,0.000486042,0.000486042,0.000486042
49,22994,0.31173,0.31463,1.00609,0.99137,0.99351,0.99103,0.97562,0.2766,0.2469,0.81238,0.000477043,0.000477043,0.000477043
50,23570.2,0.30431,0.3162,0.99771,0.98484,0.99082,0.98879,0.97211,0.28459,0.24703,0.82515,0.000468044,0.000468044,0.000468044
51,23941.6,0.29998,0.31112,0.99948,0.99248,0.99259,0.99044,0.97739,0.26832,0.21344,0.81413,0.000459045,0.000459045,0.000459045
52,24537.5,0.30556,0.31719,0.99842,0.98894,0.99018,0.99114,0.97195,0.26534,0.24908,0.81027,0.000450046,0.000450046,0.000450046
53,24888.1,0.29588,0.32757,0.9933,0.9958,0.99351,0.99074,0.98179,0.24206,0.21102,0.77115,0.000441047,0.000441047,0.000441047
54,25254.1,0.2917,0.29997,0.9928,0.98985,0.99151,0.99093,0.98306,0.24114,0.22323,0.78502,0.000432048,0.000432048,0.000432048
55,25855.1,0.29296,0.29833,0.99275,0.99329,0.99057,0.9904,0.97556,0.26318,0.2383,0.81006,0.000423049,0.000423049,0.000423049
56,26421.5,0.28794,0.29737,0.98958,0.96968,0.98363,0.98883,0.96912,0.271,0.32471,0.80536,0.000414049,0.000414049,0.000414049
57,26781.8,0.29939,0.29532,0.99719,0.98195,0.99188,0.99077,0.9804,0.23198,0.22202,0.77081,0.00040505,0.00040505,0.00040505
58,27140.2,0.29075,0.30321,0.99415,0.99544,0.98906,0.99074,0.9793,0.25156,0.2461,0.8004,0.000396051,0.000396051,0.000396051
59,27496.6,0.2921,0.27849,0.98323,0.99321,0.99053,0.99142,0.98457,0.23661,0.20461,0.78234,0.000387052,0.000387052,0.000387052
60,27980.4,0.28951,0.29572,0.98639,0.99411,0.99074,0.99178,0.98392,0.23572,0.23555,0.78104,0.000378053,0.000378053,0.000378053
61,28337.1,0.2716,0.29219,0.9827,0.9797,0.98134,0.989,0.97981,0.25732,0.2924,0.78513,0.000369054,0.000369054,0.000369054
62,29093.4,0.28199,0.27721,0.98244,0.9923,0.98491,0.9915,0.98091,0.23806,0.24222,0.77342,0.000360055,0.000360055,0.000360055
63,29627.1,0.28346,0.28901,0.99547,0.99341,0.99351,0.99112,0.97883,0.23823,0.20099,0.77877,0.000351056,0.000351056,0.000351056
64,30199.7,0.27611,0.27202,0.99348,0.99171,0.99121,0.99093,0.98247,0.24608,0.22603,0.79798,0.000342057,0.000342057,0.000342057
