epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4889,0.5581,2.7944,1.20505,0.32003,0.81445,0.49329,0.38884,0.59191,2.82579,1.16774,0.000301353,0.000301353,0.000301353
2,52.4102,0.50586,1.68371,1.13786,0.85492,0.75306,0.90611,0.77378,0.52728,1.14438,1.08641,0.000600365,0.000600365,0.000600365
3,76.906,0.51294,1.36705,1.13853,0.84157,0.84728,0.90892,0.78409,0.50861,1.12277,1.06971,0.000895376,0.000895376,0.000895376
4,101.234,0.5168,1.15209,1.13265,0.86262,0.80809,0.90949,0.8046,0.52359,0.9342,1.09507,0.000891002,0.000891002,0.000891002
5,125.506,0.50568,1.02674,1.1297,0.90281,0.938,0.96332,0.85536,0.50953,0.71371,1.09014,0.000885002,0.000885002,0.000885002
6,150.255,0.47298,0.98965,1.10142,0.89101,0.92842,0.97088,0.87329,0.49013,0.72277,1.04123,0.000879003,0.000879003,0.000879003
7,174.899,0.472,0.87755,1.09561,0.74925,0.79706,0.79499,0.70961,0.50342,1.12141,1.07999,0.000873004,0.000873004,0.000873004
8,199.742,0.43255,0.78143,1.07821,0.92543,0.85815,0.96458,0.89882,0.38082,0.60121,0.94076,0.000867004,0.000867004,0.000867004
9,224.5,0.43086,0.77684,1.06968,0.95077,0.92418,0.97791,0.8945,0.43137,0.55992,0.99882,0.000861005,0.000861005,0.000861005
10,249.158,0.42592,0.7157,1.06788,0.87824,0.95651,0.97013,0.89065,0.44034,0.58575,0.95848,0.000855005,0.000855005,0.000855005
11,273.993,0.41206,0.67483,1.05514,0.9323,0.92077,0.97861,0.9191,0.40318,0.56423,0.93733,0.000849006,0.000849006,0.000849006
12,298.779,0.40157,0.66445,1.05184,0.95998,0.9331,0.98764,0.94582,0.33501,0.46038,0.86623,0.000843007,0.000843007,0.000843007
13,323.804,0.39474,0.60686,1.05011,0.95249,0.96661,0.98814,0.93626,0.37267,0.45379,0.9012,0.000837007,0.000837007,0.000837007
14,350.342,0.39379,0.62042,1.05238,0.94258,0.96871,0.98057,0.93474,0.36052,0.47391,0.87525,0.000831008,0.000831008,0.000831008
15,375.816,0.38418,0.58819,1.0515,0.95081,0.96284,0.98516,0.93208,0.39626,0.41799,0.9445,0.000825008,0.000825008,0.000825008
16,400.931,0.39762,0.5764,1.05569,0.9774,0.98597,0.98761,0.93457,0.34297,0.38034,0.87551,0.000819009,0.000819009,0.000819009
17,426.483,0.37732,0.53018,1.03859,0.95441,0.96898,0.98519,0.93028,0.35795,0.42955,0.89155,0.00081301,0.00081301,0.00081301
